anime,oseba,vloga
813,673,Main
813,75,Main
813,134,Supporting
813,134,Supporting
813,121,Supporting
813,259,Supporting
813,354,Supporting
813,16687,Assistant Producer
813,6459,Director
813,35739,Director
813,6823,Director
38408,21971,Main
38408,672,Supporting
38408,270,Supporting
38408,720,Supporting
38408,11622,Supporting
38408,95,Supporting
38408,12017,Supporting
38408,6686,Supporting
38408,207,Supporting
38408,7242,Supporting
38408,13677,Director
38408,23577,Director
38408,52264,Episode Director
38408,39950,Theme Song Performance
26243,819,Main
26243,869,Main
26243,88,Main
26243,513,Main
26243,270,Main
26243,20156,Main
26243,885,Main
26243,6686,Supporting
26243,735,Supporting
26243,79,Supporting
26243,40365,Producer
26243,35935,Director
26243,7194,Sound Director
26243,12385,Episode Director
37450,11787,Main
37450,20156,Main
37450,11184,Supporting
37450,17215,Supporting
37450,17209,Supporting
37450,11297,Supporting
37450,13639,Supporting
37450,33995,Supporting
37450,28921,Supporting
37450,2123,Supporting
37450,6389,Director
37450,6016,Sound Director
37450,38963,Episode Director
37450,41312,Episode Director
17265,494,Main
17265,52,Main
17265,1489,Main
17265,91,Supporting
17265,79,Supporting
17265,167,Supporting
17265,655,Supporting
17265,11641,Supporting
17265,158,Supporting
17265,356,Supporting
17265,8743,Director
17265,30689,Sound Director
17265,11976,Episode Director
17265,40366,Episode Director
38691,26705,Main
38691,49398,Main
38691,9973,Main
38691,17635,Main
38691,15877,Supporting
38691,26541,Supporting
38691,1436,Supporting
38691,47097,Supporting
38691,513,Supporting
38691,49292,Director
38691,42374,Theme Song Performance
38691,50664,Theme Song Performance
38691,46314,Theme Song Performance
4898,212,Main
4898,90,Main
4898,86,Supporting
4898,95,Supporting
4898,672,Supporting
4898,52,Supporting
4898,27,Supporting
4898,82,Supporting
4898,16,Supporting
4898,756,Supporting
4898,5979,Director
4898,15107,Episode Director
4898,16067,Episode Director
4898,14751,Episode Director
35790,11787,Main
35790,20156,Main
35790,5250,Main
35790,195,Supporting
35790,12961,Supporting
35790,13639,Supporting
35790,25,Supporting
35790,11817,Supporting
35790,19371,Supporting
35790,28889,Supporting
35790,38759,Director
35790,37118,Sound Director
35790,6619,Episode Director
35790,41229,Episode Director
30654,86,Main
30654,270,Main
30654,9593,Main
30654,19834,Main
30654,2,Supporting
30654,93,Supporting
30654,65,Supporting
30654,287,Supporting
30654,9973,Supporting
30654,504,Supporting
30654,6909,Director
30654,35787,Sound Director
30654,51635,Episode Director
30654,1602,Script
7054,270,Main
7054,247,Main
7054,9876,Supporting
7054,34,Supporting
7054,10217,Supporting
7054,5,Supporting
7054,97,Supporting
7054,10056,Supporting
7054,599,Supporting
7054,185,Supporting
7054,25573,Producer
7054,6153,Director
7054,6549,Sound Director
7054,42034,Episode Director
37999,45025,Main
37999,43279,Main
