anime,studio
38337,354
538,48
2031,37
10884,418
37975,1314
17919,6
576,122
1974,65
37496,14
30344,56
279,73
568,48
291,91
3673,4
38544,103
86,14
17115,28
37254,7
229,43
37338,11
33531,41
42668,569
34209,73
10330,73
31439,1299
36001,1264
18097,28
32313,4
1642,1
35250,235
34445,418
2683,83
253,247
878,14
37992,1853
28155,103
37561,1111
30948,1169
31610,112
34338,715
3322,218
1727,176
33850,1379
40803,56
35964,1569
2921,65
41372,56
838,175
40934,28
1581,28
16123,418
37924,866
92,14
17873,28
34427,218
324,14
126,43
4080,37
19257,37
8410,103
21067,541
396,14
1000,18
24699,292
5233,7
30524,1265
130,1
2562,37
407,1
800,110
31498,406
32212,287
14045,95
35857,94
40148,56
19841,292
34745,10
32843,41
178,196
31519,1067
32836,41
6979,48
37587,1687
3604,44
2213,200
455,22
34449,37
1858,43
36800,7
39583,753
1563,73
3627,91
33371,10
28537,569
3577,70
1065,36
15489,36
37869,537
1607,101
31994,1169
38301,318
16169,541
32601,28
3166,122
812,41
1243,322
18121,569
573,280
10808,14
483,4
31143,196
1133,48
38707,126
32961,60
23037,37
12191,18
38020,51
32606,1129
152,3
1678,44
2166,49
38529,1127
37490,1835
21435,441
1025,48
17681,3
2161,4
175,1
1491,18
2225,22
872,13
12281,27
33244,1195
2942,34
206,48
3389,521
37555,7
10370,118
9598,276
34607,7
23259,14
2608,179
1221,18
13377,541
40783,605
10197,3
6024,11
22359,21
694,218
15883,346
1230,112
1516,118
13349,333
1397,196
6875,11
1946,18
32792,14
31417,126
764,27
383,11
1425,65
36565,28
7645,18
39966,1209
37232,354
260,101
36267,3
1588,218
32038,4
33733,28
23201,94
7062,44
2772,93
1356,18
33041,537
34834,95
2363,28
590,86
1674,126
37302,1560
3363,10
20971,333
28981,1264
6129,218
21821,7
6920,11
709,11
5454,70
200,73
5307,14
30652,60
472,28
31157,14
5504,51
470,11
36513,218
1372,37
33668,314
13409,94
1048,103
20473,569
620,73
2390,126
4483,34
273,7
6919,11
519,7
1826,28
688,34
31793,1295
1554,7
33037,1
876,101
37599,1687
38920,37
34863,95
10444,18
285,14
9996,5
12611,112
2604,7
35988,1693
283,22
6918,11
2800,18
25939,56
910,38
424,14
2076,18
37940,1195
1650,86
40358,437
554,28
1592,36
1695,22
113,27
10671,541
836,218
1807,69
340,126
589,18
11385,18
4189,126
33184,300
2035,30
37029,37
89,14
12321,3
36309,300
2252,18
162,11
17,22
1688,51
1694,14
39609,91
38091,73
397,14
296,11
831,7
12875,333
37245,14
303,28
39959,866
105,34
233,7
388,126
39582,839
9693,10
34393,1340
34467,1169
854,78
1685,101
1509,126
11239,44
37509,309
28283,333
30382,41
33775,1
40738,1903
36009,300
127,3
35069,1169
5005,88
37870,537
888,27
131,1
561,11
13145,73
32829,73
944,27
33462,1195
1483,11
292,179
1086,4
17080,27
12021,37
18099,541
34106,112
39590,1972
33113,41
2155,8
19157,28
32881,18
1374,28
21325,292
40958,1853
26395,1237
471,28
1471,14
37584,37
2229,18
1533,28
1164,7
1721,27
32301,1053
14277,300
2582,14
39184,132
1194,43
1629,73
184,18
36000,73
9934,292
1214,18
34289,7
30384,537
2105,37
7103,96
5141,7
2150,358
16405,856
36029,1075
39506,3
1198,63
782,14
5670,292
4066,8
32697,1195
293,11
6712,44
33797,537
35714,1169
38331,463
1738,94
222,38
39948,37
971,200
34915,56
289,28
1583,1437
33840,37
456,7
308,30
15731,333
1485,1
31422,7
38098,28
3270,10
33814,37
159,6
3859,11
15611,73
10257,103
447,107
890,14
29,37
348,27
3349,41
16419,18
35672,441
621,48
11341,7
37374,439
2564,37
840,1383
37106,96
41364,1379
28929,1266
32682,1265
23135,103
30567,1237
56,5
942,34
2451,65
3614,95
352,18
5226,11
21421,6
36976,196
1728,1
635,11
958,41
1264,14
34550,247
351,18
4052,80
1567,73
2829,22
39942,569
31049,28
445,10
992,48
2547,22
525,10
110,22
2012,18
2603,218
1744,101
34257,400
1108,37
236,1
2744,7
37657,112
1587,4
4657,3
22817,18
691,11
1426,65
116,48
3576,14
39527,3
1018,7
33341,318
282,73
1472,14
1524,10
40136,1998
2108,27
37873,537
3312,18
1473,14
2043,65
33966,439
32717,1258
55,5
38235,28
36945,1487
668,93
266,7
31440,1237
12677,3
23151,218
33447,1379
33362,1075
2618,11
38157,300
1184,154
712,474
37962,1103
6980,18
346,63
4197,1
33788,7
342,7
38083,37
36654,94
35313,587
27927,1257
852,18
1459,103
8,18
37023,839
1137,18
1929,18
38226,1209
31631,287
38004,2085
606,11
32228,1237
40403,537
261,101
1661,18
34474,753
31221,1278
38251,1849
682,122
33419,28
37893,1169
13201,73
31560,537
5485,322
2931,11
37481,37
2253,18
33746,1067
2409,80
35114,1661
23433,541
11457,118
406,73
1707,18
1231,34
28861,1237
40504,28
38268,7
30549,27
28669,18
915,37
5155,73
5684,18
1591,30
1136,14
1932,18
9893,18
327,6
41266,2115
37258,406
111,22
31633,1291
183,126
909,41
5945,367
353,18
34028,569
271,3
1224,11
103,36
33690,1514
42260,1169
11615,541
919,28
3545,36
30746,541
38150,406
31370,37
1517,81
34800,51
336,5
798,7
2004,11
284,86
33811,1237
1375,22
21729,73
930,14
678,37
364,73
39960,1195
3907,154
1844,1
1005,37
1327,18
38670,1967
833,3
37571,73
27815,73
1445,103
1021,101
34903,3
5760,68
1492,73
2222,18
1126,28
2152,11
23551,541
33532,7
1046,86
32039,4
36593,18
10870,10
33314,18
33021,41
39836,1169
2789,22
38835,1396
1835,27
24909,247
2523,63
33795,1295
10838,276
1261,103
31890,103
34522,1237
33274,1169
35370,1237
294,81
15313,537
