id,naslov,sezona,zacetek,konec,vir,epizode,dolzina,stevilo_clenov,najljubsi,ocena,opis,oznaka
35849,Darling in the FranXX,Winter 2018,2018,2018,Original,24,24 min. per ep.,893573,21287,7.35,"In the distant future, humanity has been driven to near-extinction by giant beasts known as Klaxosaurs, forcing the surviving humans to take refuge in massive fortress cities called Plantations. Child...",PG-13
14719,JoJo no Kimyou na Bouken (TV),Fall 2012,2012,2013,Manga,26,24 min. per ep.,890372,25224,8.1,"In 1868, Dario Brando saves the life of an English nobleman, George Joestar. By taking in Dario&#039;s son Dio when the boy becomes fatherless, George hopes to repay the debt he owes to his savior. However...",R
12189,Hyouka,Spring 2012,2012,2012,Novel,22,25 min. per ep.,883372,20114,8.15,Energy-conservative high school student Houtarou Oreki ends up with more than he bargained for when he signs up for the Classics Club at his sister&#039;s behest—especially when he realizes how deep-rooted...,PG-13
4181,Clannad: After Story,Fall 2008,2008,2009,Visual novel,24,24 min. per ep.,875877,60567,8.96,"Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emot...",PG-13
13759,Sakura-sou no Pet na Kanojo,Fall 2012,2012,2013,Light novel,24,23 min. per ep.,873124,24703,8.21,"When abandoned kittens and his good conscience force second year Sorata Kanda to move into Suimei High School’s infamous Sakura Hall, the satellite dorm and its eccentric, misfit residents turn his li...",PG-13
205,Samurai Champloo,Spring 2004,2004,2005,Original,26,24 min. per ep.,848820,28260,8.5,"Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samu...",R
813,Dragon Ball Z,Spring 1989,1989,1996,Manga,291,24 min. per ep.,841343,30659,8.17,"Five years after winning the World Martial Arts tournament, Gokuu is now living a peaceful life with his wife and son. This changes, however, with the arrival of a mysterious enemy named Raditz who pr...",PG-13
38408,Boku no Hero Academia 4th Season,Fall 2019,2019,2020,Manga,25,24 min. per ep.,834980,7391,8.1,"After successfully passing his Provisional Hero License exam, Izuku &quot;Deku&quot; Midoriya seeks out an extracurricular internship with a professional hero agency. At the recommendation of his mentor All Mig...",PG-13
26243,Owari no Seraph,Spring 2015,2015,2015,Manga,12,23 min. per ep.,834380,10128,7.5,"With the appearance of a mysterious virus that kills everyone above the age of 13, mankind becomes enslaved by previously hidden, power-hungry vampires who emerge in order to subjugate society with th...",R
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Fall 2018,2018,2018,Light novel,13,24 min. per ep.,833564,26402,8.4,"The rare and inexplicable Puberty Syndrome is thought of as a myth. It is a rare disease which only affects teenagers, and its symptoms are so supernatural that hardly anyone recognizes it as a legiti...",PG-13
17265,Log Horizon,Fall 2013,2013,2014,Light novel,25,25 min. per ep.,833398,9835,8.01,"In the blink of an eye, thirty thousand bewildered Japanese gamers are whisked from their everyday lives into the world of the popular MMORPG, Elder Tale, after the game&#039;s latest update—unable to log...",PG-13
38691,Dr. Stone,Summer 2019,2019,2019,Manga,24,24 min. per ep.,833246,14500,8.35,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light...",PG-13
4898,Kuroshitsuji,Fall 2008,2008,2009,Manga,24,24 min. per ep.,832261,23036,7.77,"Young Ciel Phantomhive is known as &quot;the Queen&#039;s Guard Dog,&quot; taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler wi...",R
35790,Tate no Yuusha no Nariagari,Winter 2019,2019,2019,Light novel,25,24 min. per ep.,826906,17052,8.01,The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that h...,PG-13
30654,Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,2016,Manga,25,23 min. per ep.,826088,13329,8.55,"The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights s...",PG-13
7054,Kaichou wa Maid-sama!,Spring 2010,2010,2010,Manga,26,24 min. per ep.,823461,19388,8.07,"Being the first female student council president isn&#039;t easy, especially when your school just transitioned from an all boys high school to a co-ed one. Aptly nicknamed &quot;Demon President&quot; by the boys fo...",PG-13
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Winter 2019,2019,2019,Manga,12,25 min. per ep.,817860,19714,8.44,"At the renowned Shuchiin Academy, Miyuki Shirogane and Kaguya Shinomiya are the student body&#039;s top representatives. Ranked the top student in the nation and respected by peers and mentors alike, Miyuk...",PG-13
18897,Nisekoi,Winter 2014,2014,2014,Manga,20,24 min. per ep.,812954,12432,7.66,"Raku Ichijou, a first-year student at Bonyari High School, is the sole heir to an intimidating yakuza family. Ten years ago, Raku made a promise to his childhood friend. Now, all he has to go on is a...",PG-13
18153,Kyoukai no Kanata,Fall 2013,2013,2013,Light novel,12,24 min. per ep.,810014,10390,7.79,"Mirai Kuriyama is the sole survivor of a clan of Spirit World warriors with the power to employ their blood as weapons. As such, Mirai is tasked with hunting down and killing &quot;youmu&quot;—creatures said to...",PG-13
34599,Made in Abyss,Summer 2017,2017,2017,Web manga,13,25 min. per ep.,807987,28846,8.76,"The Abyss—a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brav...",R
23283,Zankyou no Terror,Summer 2014,2014,2014,Original,11,22 min. per ep.,785531,16951,8.13,"Painted in red, the word &quot;VON&quot; is all that is left behind after a terrorist attack on a nuclear facility in Japan. The government is shattered by their inability to act, and the police are left franti...",R
28891,Haikyuu!! Second Season,Fall 2015,2015,2016,Manga,25,24 min. per ep.,785452,13050,8.76,"Following their participation at the Inter-High, the Karasuno High School volleyball team attempts to refocus their efforts, aiming to conquer the Spring tournament instead. When they receive an invit...",PG-13
853,Ouran Koukou Host Club,Spring 2006,2006,2006,Manga,26,23 min. per ep.,782336,29770,8.2,"Haruhi Fujioka is a bright scholarship candidate with no rank or title to speak of—a rare species at Ouran Academy, an elite school for students of high pedigree. When she opens the door to Music Room...",PG-13
11741,Fate/Zero 2nd Season,Spring 2012,2012,2012,Light novel,12,24 min. per ep.,773654,16464,8.6,"As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confron...",R
11771,Kuroko no Basket,Spring 2012,2012,2012,Manga,25,24 min. per ep.,762224,18419,8.17,"Teikou Junior High School&#039;s basketball team is crowned champion three years in a row thanks to five outstanding players who, with their breathtaking and unique skills, leave opponents in despair and f...",PG-13
34933,Kakegurui,Summer 2017,2017,2017,Manga,12,24 min. per ep.,759461,7128,7.45,"Unlike many schools, attending Hyakkaou Private Academy prepares students for their time in the real world. Since many of the students are the children of the richest people in the world, the academy...",R
37510,Mob Psycho 100 II,Winter 2019,2019,2019,Web manga,13,24 min. per ep.,756137,18869,8.85,Shigeo &quot;Mob&quot; Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue...,PG-13
5680,K-On!,Spring 2009,2009,2009,4-koma manga,13,24 min. per ep.,741057,18770,7.84,"A fresh high school year always means much to come, and one of those things is joining a club. Being in a dilemma about which club to join, Yui Hirasawa stumbles upon and applies for the Light Music C...",PG-13
2025,Darker than Black: Kuro no Keiyakusha,Spring 2007,2007,2007,Original,25,24 min. per ep.,737336,16186,8.12,"It has been 10 years since Heaven&#039;s Gate appeared in South America and Hell&#039;s Gate appeared in Japan, veiling the once familiar night sky with an oppressive skyscape. Their purposes unknown, these Gat...",R
14513,Magi: The Labyrinth of Magic,Fall 2012,2012,2013,Manga,25,24 min. per ep.,736757,8029,8.08,"Dispersed around the world, there are several bizarre labyrinths hiding incredible treasures within them. These mysterious places, known as &quot;Dungeons,&quot; are said to be the work of Magi, a class of rare...",PG-13
849,Suzumiya Haruhi no Yuuutsu,Spring 2006,2006,2006,Light novel,14,23 min. per ep.,726409,15573,7.88,"Kyon, your typical high school student, has long given up his belief in the supernatural. However, upon meeting Haruhi Suzumiya, he quickly finds out that it is the supernatural that she is interested...",PG-13
14227,Tonari no Kaibutsu-kun,Fall 2012,2012,2012,Manga,13,24 min. per ep.,724831,5186,7.56,"Shizuku Mizutani is apathetic towards her classmates, only caring about her grades. However, her cold view of life begins to change when she meets Haru Yoshida, a violent troublemaker who stopped atte...",PG-13
33206,Kobayashi-san Chi no Maid Dragon,Winter 2017,2017,2017,Manga,13,24 min. per ep.,723973,12048,8.04,"As Kobayashi sets off for another day at work, she opens her apartment door only to be met by an unusually frightening sight—the head of a dragon, staring at her from across the balcony. The dragon im...",PG-13
20785,Mahouka Koukou no Rettousei,Spring 2014,2014,2014,Light novel,26,23 min. per ep.,723171,9832,7.55,"In the dawn of the 21st century, magic, long thought to be folklore and fairy tales, has become a systematized technology and is taught as a technical skill. In First High School, the institution for...",PG-13
31478,Bungou Stray Dogs,Spring 2016,2016,2016,Manga,12,23 min. per ep.,721720,14212,7.79,"For weeks, Atsushi Nakajima&#039;s orphanage has been plagued by a mystical tiger that only he seems to be aware of. Suspected to be behind the strange incidents, the 18-year-old is abruptly kicked out of...",R
918,Gintama,Spring 2006,2006,2010,Manga,201,24 min. per ep.,718045,46547,8.97,"The Amanto, aliens from outer space, have invaded Earth and taken over feudal Japan. As a result, a prohibition on swords has been established, and the samurai of Japan are treated with disregard as a...",PG-13
356,Fate/stay night,Winter 2006,2006,2006,Visual novel,24,24 min. per ep.,706382,6912,7.35,"After a mysterious inferno kills his family, Shirou is saved and adopted by Kiritsugu Emiya, who teaches him the ways of magic and justice. One night, years after Kiritsugu&#039;s death, Shirou is cleaning...",R
22297,Fate/stay night: Unlimited Blade Works,Fall 2014,2014,2014,Visual novel,12,28 min. per ep.,699713,12151,8.23,"The Holy Grail War is a battle royale among seven magi who serve as Masters. Masters, through the use of the command seals they are given when they enter the war, command Heroic Spirits known as Serva...",R
223,Dragon Ball,Winter 1986,1986,1989,Manga,153,24 min. per ep.,695117,12790,8.01,"Gokuu Son is a young boy who lives in the woods all alone—that is, until a girl named Bulma runs into him in her search for a set of magical objects called the &quot;Dragon Balls.&quot; Since the artifacts are...",PG-13
