anime,zanr
3030,ninja
3030,shounen
3030,super power
3067,ecchi
3067,harem
3067,large breasts
3067,manga
3067,pantsu
3067,romance
3067,shounen
3146,action
3146,alien
3146,game
3146,military
3146,post-apocalyptic
3146,RPG
3146,science fiction
3169,action
3169,anthropomorphism
3169,comedy
3169,contemporary fantasy
3169,manga
3169,parallel world
3169,seinen
3169,super power
3169,tragedy
3195,anthropomorphism
3195,coming of age
3195,contemporary fantasy
3195,deity
3195,fantasy
3195,middle school
3195,mina
3195,new
3195,romance
3195,school life
3195,seinen
3215,erotic game
3215,game
3215,high school
3215,love polygon
3215,romance
3215,school life
3215,seinen
3215,visual novel
3216,action
3216,comedy
3216,ecchi
3216,fantasy
3216,human enhancement
3216,magic
3216,maid
3216,mecha
3216,new
3216,post-apocalyptic
3216,school life
3216,science fiction
3216,super power
3216,tragedy
3291,angst
3291,horror
3291,new
3291,seinen
3291,tragedy
3291,violence
3298,alien
3298,comedy
3298,high school
3298,humanoid alien
3298,manga
3298,parody
3298,school life
3298,seinen
3298,super deformed
3302,action
3302,android
3302,angst
3302,conspiracy
3302,contemporary fantasy
3302,dystopia
3302,gunfights
3302,mecha
3302,new
3302,post-apocalyptic
3302,science fiction
3302,seinen
3302,violence
3317,action
3317,bishounen
3317,fantasy
3317,manga
3317,new
3317,parallel world
3317,shounen
3321,nudity
3321,sex
3321,action
3321,bounty hunter
3321,conspiracy
3321,gunfights
3321,human enhancement
3321,manga
3321,martial arts
3321,parallel world
3321,science fiction
3321,shounen
3321,super power
3321,violence
3385,dystopia
3385,new
3385,post-apocalyptic
3385,romance
3385,science fiction
3385,steampunk
3385,super power
3408,action
3408,contemporary fantasy
3408,demon
3408,fantasy
3408,love polygon
3408,magic
3408,novel
3408,romance
3408,seinen
3408,super power
3427,action
3427,erotic game
3427,fantasy
3427,game
3427,juujin
3427,military
3427,post-apocalyptic
3427,RPG
3427,science fiction
3427,seinen
3427,swordplay
3427,tragedy
3427,violence
3427,visual novel
3433,contemporary fantasy
3433,daily life
3433,detective
3433,fantasy
3433,manga
3433,seinen
3433,tragedy
3444,action
3444,adventure
3444,angel
3444,comedy
3444,coming of age
3444,demon
3444,fantasy
3444,game
3444,RPG
3444,shounen
3444,super power
3446,mafia
3446,manga
3446,seinen
3446,sports
3468,action
3468,alien
3468,Bakumatsu - Meiji Period
3468,comedy
3468,historical
3468,humanoid alien
3468,manga
3468,ninja
3468,parallel world
3468,parody
3468,samurai
3468,science fiction
3468,shounen
3512,new
3512,parallel world
3512,science fiction
3512,seinen
3572,contemporary fantasy
3572,daily life
3572,fantasy
3572,novel
3572,romance
3572,seinen
3572,tragedy
3574,angst
3574,detective
3574,game
3574,horror
3574,seinen
3574,tragedy
3574,violence
3574,visual novel
3651,comedy
3651,high school
3651,novel
3651,parody
3651,school clubs
3651,school life
3651,seinen
4032,contemporary fantasy
4032,fantasy
4032,magic
4032,manga
4032,seinen
4046,action
4046,adventure
4046,bishounen
4046,fantasy
4046,manga
4046,martial arts
4046,parallel world
4046,shounen
4046,swordplay
4054,action
4054,angst
4054,conspiracy
4054,contemporary fantasy
4054,fantasy
4054,mafia
4054,manga
4054,seinen
4054,super power
4054,tragedy
4054,violence
4074,comedy
4074,contemporary fantasy
4074,fantasy
4074,magic
4074,manga
4074,seinen
4074,super power
4097,action
4097,adventure
4097,comedy
4097,manga
4097,mecha
4097,shounen
4097,super power
4112,action
4112,comedy
4112,harem
4112,martial arts
4112,ninja
4112,novel
4112,romance
4112,samurai
4112,seinen
4147,angel
4147,comedy
4147,contemporary fantasy
4147,deity
4147,fantasy
4147,novel
4147,romance
4147,seinen
4148,bishounen
4148,comedy
4148,high school
4148,manga
4148,reverse harem
4148,reverse trap
4148,romance
4148,school clubs
4148,school life
4148,shoujo
4148,super deformed
4150,bishounen
4150,comedy
4150,fantasy
4150,novel
4150,reverse harem
4150,romance
4150,shoujo
4151,daily life
4151,high school
4151,novel
4151,romance
4151,school life
4151,science fiction
4151,time travel
4153,angel
4153,comedy
4153,deity
4153,fantasy
4153,harem
4153,magic
4153,manga
4153,motorsport
4153,romance
4153,seinen
4178,action
4178,mecha
4178,new
4178,piloted robot
4178,post-apocalyptic
4178,science fiction
4178,shounen
4178,tragedy
4178,virtual world
4193,angst
4193,fantasy
4193,magic
4193,mina
4193,novel
4193,parallel world
4193,violence
4214,action
4214,demon
4214,fantasy
4214,historical
4214,magic
4214,novel
4214,shounen
4222,nudity
4222,sex
4222,comedy
4222,high school
4222,love polygon
4222,manga
4222,parody
4222,romance
4222,school life
4226,action
4226,adventure
4226,dystopia
4226,manga
4226,noitaminA
4226,science fiction
4226,shoujo
4226,tragedy
4226,violence
4239,air force
4239,coming of age
4239,love polygon
4239,military
4239,new
4239,romance
4239,science fiction
4239,seinen
4239,shoujo ai
4239,steampunk
4243,daily life
4243,fantasy
4243,manga
4243,seinen
4264,action
4264,adventure
4264,angst
4264,fantasy
4264,magic
4264,martial arts
4264,new
4264,shounen
4264,super power
4264,swordplay
4264,violence
4309,comedy
4309,daily life
4309,manga
4309,school life
4309,seinen
4324,action
4324,adventure
4324,fantasy
4324,new
4324,seinen
4324,super power
4324,swordplay
4324,virtual world
4325,angst
4325,daily life
4325,game
4325,high school
4325,love polygon
4325,romance
4325,visual novel
4327,action
4327,adventure
4327,android
4327,gunfights
4327,mecha
4327,new
4327,science fiction
4327,shounen
4339,coming of age
4339,manga
4339,shounen
4339,tragedy
4388,action
4388,contemporary fantasy
